sentence_number,stopword_count,word_length,character_length
270,1,3,20
271,3,7,38
272,4,8,41
273,11,27,173
274,8,24,148
275,8,21,138
276,1,3,24
277,9,23,157
278,8,19,113
279,9,19,132
280,6,19,128
281,7,25,189
282,2,4,22
283,8,24,166
284,5,17,132
285,5,11,77
286,10,22,134
287,4,13,86
288,0,3,19
289,6,15,100
290,5,7,28
291,8,21,146
292,10,24,170
293,10,25,179
294,1,3,20
295,3,9,64
296,4,15,118
297,4,11,62
298,8,25,194
299,4,16,91
300,8,22,144
301,0,1,19
302,4,18,132
303,8,12,65
304,4,9,59
305,9,23,140
306,17,36,224
307,1,3,17
308,9,21,168
309,0,1,4
310,13,35,237
311,15,27,155
312,10,24,146
313,18,30,204
314,25,43,296
315,0,2,17
316,19,36,199
317,9,19,134
318,22,42,225
319,12,26,138
320,11,27,169
321,15,28,155
322,4,14,99
323,17,42,253
324,0,2,16
325,12,30,191
326,21,53,346
327,16,35,210
328,22,44,293
329,20,38,212
330,0,2,17
331,18,47,329
332,27,60,408
333,13,26,172
334,7,16,100
335,0,1,10
336,9,24,152
337,18,28,156
338,15,38,247
339,8,16,96
340,4,14,90
341,10,16,92
342,0,2,17
343,17,32,220
344,10,19,115
345,8,17,106
346,11,23,139
347,12,23,145
348,5,15,118
349,5,16,114
350,9,15,89
351,0,2,14
352,13,24,136
353,14,27,181
354,11,22,145
355,11,17,83
356,9,19,116
357,15,41,293
358,7,22,183
359,0,2,13
360,10,19,117
361,13,29,180
362,9,21,154
363,3,12,91
364,13,25,151
365,16,36,238
366,0,3,18
367,15,37,267
368,3,11,83
369,3,10,69
370,6,10,49
371,6,20,132
372,10,26,174
373,8,14,88
374,5,12,64
375,12,32,240
376,7,16,97
377,12,26,146
378,1,5,42
379,0,0,1
380,16,31,193
381,5,10,67
382,12,30,204
383,13,23,142
384,17,32,197
385,7,18,128
386,11,23,132
387,0,1,10
388,7,19,118
389,9,17,106
390,18,41,281
391,14,32,211
392,0,2,17
393,23,48,302
394,11,30,216
395,14,29,174
396,9,22,148
397,6,22,162
398,10,26,162
399,3,8,50
400,8,18,117
401,6,9,58
402,10,32,228
403,17,35,183
404,9,21,128
405,4,12,66
406,10,22,147
407,0,2,19
408,16,40,250
409,8,19,114
410,8,28,177
411,12,22,113
412,24,44,220
413,7,19,122
414,2,9,60
415,15,25,130
416,11,22,133
417,15,34,214
418,8,18,91
419,8,17,109
420,5,15,87
421,14,33,186
422,9,25,155
423,4,7,34
424,10,24,137
425,15,29,159
426,15,33,216
427,6,13,92
428,11,29,209
429,16,35,215
430,8,17,94
431,11,18,106
432,11,25,150
433,15,33,189
434,13,31,193
435,10,19,119
436,17,33,219
437,4,13,92
438,9,21,144
439,14,25,157
440,8,25,218
441,18,37,229
442,11,24,129
443,10,15,84
444,11,17,92
445,4,6,34
446,9,15,81
447,7,13,71
448,5,11,66
449,15,24,140
450,11,25,152
451,17,41,239
452,15,31,194
453,17,29,176
454,4,12,91
455,18,36,204
456,15,35,230
457,16,36,223
458,15,33,208
459,12,26,152
460,10,22,145
461,14,31,191
462,7,20,137
463,11,23,133
464,9,21,140
465,15,27,158
466,9,14,93
467,9,16,103
468,19,31,182
469,15,25,152
470,11,20,113
471,14,35,227
472,5,11,74
473,14,30,185
474,21,46,277
475,9,33,203
476,5,22,151
477,14,28,164
478,5,12,73
479,5,13,79
480,8,19,119
481,0,1,10
482,14,36,267
483,14,30,216
484,7,23,144
485,12,23,121
486,16,35,233
487,13,23,121
488,15,30,182
489,7,16,94
490,7,12,69
491,1,2,10
492,14,26,163
493,9,22,141
494,0,2,14
495,5,14,79
496,18,31,194
497,7,16,99
498,5,10,53
499,9,12,65
500,10,31,190
501,0,2,19
502,11,25,175
503,11,25,143
504,10,18,89
505,10,22,137
506,12,27,176
507,11,19,114
508,17,38,221
509,0,2,11
510,2,6,40
511,7,17,118
512,36,65,386
513,8,22,129
514,16,31,164
515,4,6,49
516,0,3,16
517,5,18,131
518,8,25,166
519,16,36,216
520,9,23,157
521,11,23,131
522,11,20,124
523,1,2,13
524,11,20,119
525,3,4,27
526,7,21,168
527,6,15,112
528,14,31,196
529,9,25,159
530,10,30,190
531,7,17,100
532,9,26,180
533,9,29,197
534,15,37,234
535,15,33,201
536,1,5,38
537,0,1,7
538,7,19,141
539,10,22,149
540,14,29,192
541,6,14,86
542,11,27,184
543,5,13,81
544,4,16,110
545,10,21,148
546,0,1,7
547,13,31,191
548,18,37,243
549,16,25,132
550,0,2,19
551,13,27,171
552,4,11,77
553,13,21,98
554,12,22,127
555,7,14,95
556,8,16,83
557,6,16,99
558,15,29,173
559,4,15,95
560,10,17,119
561,14,32,215
562,5,19,129
563,8,18,112
564,0,2,17
565,6,13,74
566,8,14,83
567,12,24,158
568,11,25,145
569,8,17,105
570,15,24,127
571,11,19,125
572,5,9,57
573,0,1,7
574,8,19,142
575,9,28,201
576,10,20,129
577,10,20,127
578,8,21,143
579,3,8,57
580,11,33,212
581,9,21,148
582,13,28,177
583,10,28,192
584,8,15,96
585,0,2,19
586,10,28,200
587,13,23,131
588,13,24,152
589,12,33,236
590,0,3,20
591,7,17,95
592,10,18,97
593,7,17,103
594,8,21,146
595,11,30,202
596,7,16,98
597,1,4,25
598,27,57,353
599,7,18,103
600,8,19,127
601,1,3,16
602,4,5,27
603,13,21,119
604,0,2,16
605,6,13,92
606,6,12,69
607,11,19,114
608,2,7,44
609,3,4,23
610,13,30,214
611,10,18,108
612,11,25,157
613,7,11,64
614,5,14,88
615,8,17,110
616,8,18,108
617,10,23,143
618,3,8,44
619,10,23,139
620,3,8,58
621,0,2,20
622,3,13,98
623,6,15,93
624,15,31,227
625,5,10,54
626,9,14,76
627,14,33,208
628,6,11,67
629,1,3,21
630,7,18,129
631,4,11,75
632,8,17,159
633,4,13,79
634,13,30,207
635,5,11,80
636,1,4,20
637,8,20,119
638,8,19,163
639,10,23,162
640,12,25,151
641,9,19,159
642,9,24,182
643,4,8,48
644,8,19,130
645,0,2,15
646,14,33,211
647,11,18,99
648,10,23,127
649,3,7,42
650,3,4,23
651,4,6,39
652,4,8,59
653,0,2,19
654,5,9,59
655,2,3,24
656,1,4,26
657,2,4,28
658,7,11,85
659,9,25,175
660,6,11,75
661,10,23,148
662,0,2,16
663,12,27,174
664,5,11,75
665,7,18,123
666,10,23,158
667,5,16,125
668,8,18,132
669,6,10,79
670,0,3,32
671,11,22,149
672,13,29,167
673,17,35,198
674,6,12,89
675,14,29,157
676,10,20,121
677,2,5,24
678,7,16,110
679,4,9,54
680,9,23,164
681,10,21,132
682,9,20,152
683,0,2,16
684,7,21,148
685,6,15,100
686,9,25,182
687,2,4,34
688,12,25,175
689,5,15,101
690,3,6,34
691,1,4,25
692,11,38,283
693,6,11,57
694,1,10,88
695,8,15,113
696,7,16,98
697,11,21,110
698,2,4,23
699,11,25,157
700,8,21,172
701,1,6,44
702,9,20,136
703,6,19,117
704,4,11,79
705,6,13,83
706,8,21,133
707,7,13,75
708,2,4,31
709,0,1,10
710,10,22,161
711,13,40,292
712,12,25,164
713,5,9,52
714,0,2,14
715,7,18,120
716,7,15,96
717,11,30,203
718,6,14,89
719,7,16,98
720,6,9,52
721,11,18,100
722,1,3,15
723,15,32,208
724,7,18,124
725,6,15,97
726,4,16,114
727,15,28,158
728,5,15,100
729,8,16,96
730,5,10,58
731,9,19,151
732,9,15,79
733,5,11,70
734,5,11,68
735,3,9,56
736,12,34,213
737,0,1,15
738,5,10,85
739,15,30,171
740,16,30,184
741,15,29,188
742,10,21,142
743,1,3,17
744,12,20,117
745,18,35,218
746,13,26,163
747,15,32,213
748,16,29,161
749,6,13,71
750,0,2,15
751,11,24,155
752,6,11,62
753,13,31,189
754,20,44,276
755,12,25,168
756,9,26,182
757,8,14,74
758,0,2,14
759,16,39,242
760,10,24,162
761,11,24,155
762,19,32,190
763,0,2,17
764,9,23,163
765,6,13,84
766,6,16,95
767,13,30,176
768,13,30,179
769,16,30,191
770,0,2,17
771,8,18,114
772,6,12,88
773,15,31,195
774,9,16,100
775,9,21,115
776,14,25,133
777,3,8,56
778,4,11,62
779,5,15,108
780,7,14,81
781,10,21,120
782,0,2,18
783,5,16,89
784,8,16,89
785,15,34,196
786,16,29,157
787,19,33,195
788,9,17,111
789,4,11,60
790,19,36,205
791,13,29,187
792,0,2,16
793,10,26,156
794,6,13,77
795,12,20,99
796,16,30,181
797,21,35,181
798,14,25,135
799,11,22,153
800,9,24,166
801,14,33,215
802,7,13,82
803,0,2,19
804,14,31,187
805,5,15,97
806,8,18,128
807,7,15,94
808,6,14,112
809,10,26,184
810,6,12,73
811,8,20,131
812,31,60,347
813,0,2,16
814,8,17,144
815,10,22,142
816,8,18,139
817,1,3,18
818,8,20,110
819,2,6,58
820,10,24,150
821,6,13,85
822,4,17,118
823,3,7,51
824,9,15,90
825,1,4,18
826,9,17,96
827,9,18,120
828,5,12,89
829,9,21,127
830,4,10,62
831,6,14,78
832,6,12,68
833,4,11,89
834,1,4,22
835,5,12,70
836,9,21,127
837,6,11,58
838,3,7,47
839,3,9,62
840,12,34,230
841,2,9,69
842,6,17,108
843,1,3,20
844,9,21,119
845,12,19,122
846,6,15,106
847,8,13,68
848,6,14,90
849,0,2,17
850,7,19,118
851,9,25,175
852,5,19,127
853,8,16,91
854,0,2,20
855,8,18,106
856,10,25,172
857,6,13,102
858,4,13,92
859,0,3,17
860,10,21,131
861,8,15,87
862,6,20,143
863,15,39,261
864,5,15,105
865,13,28,193
866,8,15,85
867,3,8,54
868,7,15,106
869,10,26,199
870,6,17,111
871,7,15,102
872,4,9,81
873,0,3,18
874,10,33,231
875,11,23,148
876,13,34,244
877,0,3,18
878,11,27,202
879,7,16,100
880,13,26,174
881,7,15,107
882,4,11,74
883,0,3,34
884,13,31,175
885,9,26,197
886,3,6,37
887,1,4,23
888,18,31,161
889,14,21,108
890,6,14,87
891,8,15,76
892,1,4,21
893,8,15,74
894,1,7,43
895,5,20,150
896,6,12,64
897,6,18,116
898,12,26,165
899,1,4,22
900,11,25,168
901,11,23,151
902,5,11,76
903,8,20,118
904,8,14,96
905,5,7,42
906,0,3,32
907,6,22,157
908,13,29,196
909,14,38,246
910,9,25,154
911,3,9,62
912,17,32,173
913,21,42,244
914,5,18,145
915,10,22,132
916,3,8,70
917,7,13,77
918,5,9,48
919,10,33,234
920,10,20,132
921,12,23,151
922,25,41,228
923,0,2,15
924,10,19,112
925,17,35,187
926,4,9,53
927,11,21,110
928,9,21,116
929,0,3,20
930,8,17,113
931,4,16,114
932,10,20,137
933,9,20,113
934,8,23,142
935,11,30,188
936,14,23,121
937,8,21,162
938,20,42,239
939,26,52,329
940,8,18,102
941,1,5,38
942,17,31,166
943,20,39,237
944,15,30,174
945,7,17,99
946,14,26,132
947,20,31,163
948,0,2,12
949,6,16,103
950,6,18,106
951,6,16,90
952,4,12,82
953,9,19,103
954,8,19,133
955,4,21,159
956,10,22,149
957,9,23,142
958,14,32,197
959,6,20,140
960,6,11,72
961,9,28,205
962,6,21,159
963,0,3,21
964,4,14,100
965,5,6,51
966,4,7,35
967,5,13,100
968,5,16,108
969,2,10,67
970,3,14,130
971,17,33,192
972,6,14,104
973,7,17,106
974,9,16,90
975,25,47,305
976,0,3,15
977,1,7,57
978,6,17,95
979,5,9,57
980,13,28,178
981,6,15,88
982,1,4,30
983,2,5,29
984,1,2,15
985,3,6,40
986,3,6,40
987,5,9,48
988,1,3,19
989,7,18,145
990,3,5,38
991,2,6,40
992,8,22,148
993,10,24,179
994,6,17,126
995,6,14,83
996,10,20,123
997,0,3,17
998,13,32,224
999,10,23,166
1000,7,11,75
1001,3,6,44
1002,5,10,57
1003,9,21,143
1004,5,11,72
1005,0,3,23
1006,10,20,119
1007,2,7,43
1008,4,14,95
1009,3,14,102
1010,14,30,188
1011,5,12,110
1012,3,16,124
1013,5,17,137
1014,17,35,210
1015,14,32,203
1016,0,3,18
1017,10,25,168
1018,22,35,192
1019,17,31,205
1020,0,2,23
1021,17,37,243
1022,15,26,145
1023,0,3,18
1024,15,37,221
1025,9,20,142
1026,13,32,176
1027,0,3,17
1028,7,18,99
1029,7,16,86
1030,10,22,135
1031,14,41,241
1032,10,23,146
1033,3,12,75
1034,0,2,18
1035,11,29,163
1036,12,23,114
1037,9,22,153
1038,13,29,195
1039,1,3,22
1040,11,22,117
1041,9,23,140
1042,2,6,56
1043,11,23,117
1044,11,29,207
1045,21,50,265
1046,9,18,90
1047,5,13,70
1048,0,2,10
1049,16,39,216
1050,5,13,74
1051,12,24,121
1052,6,14,77
1053,9,27,153
1054,0,2,13
1055,7,18,107
1056,5,9,43
1057,3,8,49
1058,6,15,96
1059,22,45,239
1060,0,2,23
1061,13,37,253
1062,7,14,80
1063,2,8,68
1064,16,36,284
1065,0,2,17
1066,5,15,115
1067,6,17,96
1068,16,26,143
1069,8,21,134
1070,0,3,29
1071,9,25,167
1072,14,25,126
1073,10,25,149
1074,6,21,159
1075,1,4,23
1076,10,28,208
1077,7,20,165
1078,11,33,209
1079,6,13,80
1080,0,3,14
1081,6,24,160
1082,3,9,69
1083,13,27,178
1084,12,30,206
1085,10,16,78
1086,9,22,134
1087,9,22,155
1088,4,13,88
1089,4,14,105
1090,9,20,114
1091,9,18,119
1092,4,10,70
1093,4,7,45
1094,0,2,22
1095,6,27,226
1096,19,35,187
1097,0,2,18
1098,16,38,219
1099,12,27,169
1100,10,29,185
1101,0,4,22
1102,14,32,182
1103,7,13,86
1104,0,3,27
1105,10,28,186
1106,11,29,176
1107,7,12,70
1108,7,15,74
1109,10,22,130
1110,2,4,27
1111,14,32,217
1112,5,13,108
1113,10,24,142
1114,0,4,31
1115,9,25,183
1116,5,12,66
1117,11,20,111
1118,0,3,39
1119,7,26,157
1120,0,2,14
1121,6,21,140
1122,3,15,101
1123,10,24,135
1124,17,34,185
1125,4,10,66
1126,9,24,157
1127,11,20,114
1128,6,15,107
1129,3,8,95
1130,9,17,90
1131,9,19,112
1132,5,9,53
1133,16,36,205
1134,7,20,110
1135,6,18,121
1136,10,23,134
1137,9,21,108
1138,7,16,95
1139,9,16,103
1140,17,40,226
1141,5,12,70
1142,5,11,77
1143,3,10,63
1144,8,12,57
1145,13,21,96
1146,4,8,44
1147,9,17,93
1148,5,12,88
1149,5,12,70
1150,0,1,11
1151,8,18,110
1152,13,28,198
1153,7,20,141
1154,5,9,53
1155,19,41,263
1156,7,18,107
1157,9,23,145
1158,2,2,13
1159,4,9,48
1160,6,23,155
1161,3,6,35
1162,8,19,114
1163,14,26,137
1164,11,22,124
1165,9,21,124
1166,5,7,31
1167,4,16,117
1168,4,10,54
1169,0,6,57
1170,5,12,70
1171,6,10,52
1172,7,18,108
1173,4,12,83
1174,8,16,107
1175,5,12,69
1176,10,20,118
1177,6,11,57
1178,11,25,156
1179,6,11,60
1180,4,8,45
1181,6,20,121
1182,4,10,61
1183,6,8,41
1184,9,20,92
1185,5,9,57
1186,6,13,71
1187,5,12,73
1188,13,20,95
1189,8,21,131
1190,6,17,120
1191,11,20,112
1192,6,15,86
1193,0,2,14
1194,23,50,309
1195,14,37,209
1196,14,41,247
1197,4,16,114
1198,13,31,188
1199,28,49,272
1200,10,30,215
1201,13,34,210
1202,2,3,23
1203,0,2,17
1204,5,12,76
1205,23,51,309
1206,9,22,142
1207,4,10,55
1208,6,15,105
1209,13,23,133
1210,15,27,152
1211,13,25,128
1212,7,16,98
1213,9,15,109
1214,15,37,223
1215,1,4,28
1216,8,22,137
1217,7,21,132
1218,6,19,154
1219,14,35,225
1220,6,13,88
1221,7,22,179
1222,5,11,65
1223,15,31,208
1224,5,18,125
1225,13,23,166
1226,7,17,115
1227,7,15,81
1228,4,12,73
1229,9,16,93
1230,9,18,97
1231,7,18,105
1232,3,14,90
1233,4,11,58
1234,11,23,115
1235,12,30,184
1236,10,20,114
1237,6,20,139
1238,8,19,102
1239,7,16,90
1240,10,21,129
1241,13,31,159
1242,1,3,21
1243,3,10,58
1244,9,17,91
1245,6,13,74
1246,3,8,41
1247,9,18,108
1248,6,19,124
1249,6,15,80
1250,0,3,31
1251,7,24,177
1252,0,2,38
1253,18,44,247
1254,8,14,69
1255,5,11,62
1256,10,17,81
1257,11,23,130
1258,11,28,145
1259,17,36,172
1260,15,38,215
1261,12,32,181
1262,12,28,170
1263,0,4,30
1264,3,14,94
1265,5,7,39
1266,12,19,94
1267,6,11,59
1268,6,14,84
1269,15,41,250
1270,11,23,145
1271,6,17,110
1272,7,17,102
1273,8,14,74
1274,4,9,44
1275,3,5,26
1276,4,7,38
1277,5,9,48
1278,8,11,47
1279,6,7,32
1280,13,23,131
1281,4,8,42
1282,5,15,95
1283,1,4,24
1284,1,3,13
1285,1,3,15
1286,2,5,31
1287,11,23,124
1288,15,26,199
1289,9,18,121
1290,5,15,105
1291,10,18,96
1292,8,16,103
1293,7,16,80
1294,11,20,129
1295,1,14,86
1296,11,23,125
1297,10,22,155
1298,10,26,180
1299,10,28,158
1300,5,9,55
1301,8,22,116
1302,14,34,203
1303,5,16,99
1304,14,24,139
1305,2,8,58
1306,8,20,101
1307,3,4,27
1308,2,9,67
1309,10,21,124
1310,9,18,104
1311,17,35,197
1312,13,29,163
1313,9,22,129
1314,6,11,72
1315,13,23,115
1316,6,11,68
1317,9,18,103
1318,7,20,122
1319,10,18,106
1320,0,3,24
1321,11,28,192
1322,16,39,225
1323,5,18,126
1324,6,17,118
1325,2,9,58
1326,5,9,53
1327,11,27,148
1328,14,29,163
1329,12,23,129
1330,14,30,146
1331,10,19,143
1332,0,1,22
1333,5,17,115
1334,8,14,102
1335,5,12,63
1336,9,25,154
1337,2,5,31
1338,2,5,27
1339,1,3,19
1340,3,5,33
1341,9,30,193
1342,8,18,107
1343,12,23,134
1344,9,18,106
1345,4,11,65
1346,6,15,100
1347,0,3,20
1348,12,26,184
1349,4,9,56
1350,4,12,81
1351,6,14,100
1352,7,13,77
1353,5,15,79
1354,4,8,48
1355,1,7,46
1356,9,19,121
1357,12,32,187
1358,14,37,286
1359,10,25,157
1360,1,5,56
1361,7,19,122
1362,2,9,53
1363,9,25,153
1364,8,18,117
1365,7,16,84
1366,0,3,23
1367,16,28,168
1368,13,30,196
1369,5,23,149
1370,6,12,61
1371,9,17,95
1372,1,8,69
1373,9,20,121
1374,11,25,148
1375,8,19,111
1376,1,4,25
1377,3,10,65
1378,13,28,176
1379,2,8,54
1380,4,11,67
1381,3,9,75
1382,2,5,28
1383,4,12,89
1384,4,10,62
1385,3,15,101
1386,6,14,87
1387,8,15,86
1388,8,22,161
1389,4,8,34
1390,8,22,140
1391,5,9,45
1392,9,22,140
1393,6,21,169
1394,8,20,146
1395,9,25,166
1396,4,11,79
1397,0,3,17
1398,6,14,77
1399,7,14,81
1400,18,34,236
1401,7,16,90
1402,6,12,66
1403,2,4,19
1404,13,26,163
1405,11,20,111
1406,9,16,104
1407,8,16,92
1408,11,29,166
1409,2,4,28
1410,9,15,85
1411,2,4,19
1412,6,13,80
1413,5,10,62
1414,7,10,51
1415,6,12,59
1416,5,8,63
1417,4,10,53
1418,5,7,29
1419,11,19,110
1420,18,36,205
1421,9,18,100
1422,11,25,151
1423,3,11,64
1424,1,3,18
1425,3,5,32
1426,3,9,53
1427,0,4,32
1428,2,9,70
1429,3,3,13
1430,1,5,37
1431,6,8,38
1432,16,28,146
1433,4,7,40
1434,9,21,104
1435,1,4,29
1436,12,24,123
1437,4,12,75
1438,9,19,111
1439,15,28,147
1440,15,34,192
1441,3,7,44
1442,7,12,67
1443,5,8,45
1444,4,7,48
1445,12,30,182
1446,2,4,19
1447,4,7,41
1448,2,5,29
1449,2,4,30
1450,4,7,38
1451,4,10,62
1452,9,16,83
1453,7,12,68
1454,3,7,40
1455,13,20,104
1456,10,19,119
1457,13,21,105
1458,16,36,220
1459,11,28,223
1460,13,27,172
1461,6,14,90
1462,2,7,54
1463,9,14,78
1464,6,16,104
1465,10,20,122
1466,6,13,81
1467,3,10,63
1468,12,25,143
1469,13,29,186
1470,7,11,66
1471,1,3,20
1472,9,27,204
1473,4,10,59
1474,3,7,73
1475,10,30,178
1476,6,17,104
1477,10,30,182
1478,3,7,38
1479,7,12,81
1480,5,16,103
1481,5,7,35
1482,1,4,23
1483,6,19,115
1484,9,21,131
1485,7,11,59
1486,2,7,47
1487,6,13,77
1488,3,13,96
1489,6,10,56
1490,5,9,50
1491,6,22,148
1492,1,3,16
1493,10,19,115
1494,7,25,166
1495,1,4,24
1496,1,3,15
1497,0,0,1
1498,7,14,82
1499,19,37,196
1500,11,19,96
1501,8,16,99
1502,3,6,38
1503,3,4,24
1504,1,3,15
1505,13,25,134
1506,6,12,93
1507,4,6,40
1508,3,5,29
1509,6,12,73
1510,11,18,120
1511,6,13,88
1512,11,22,124
1513,12,24,127
1514,8,15,92
1515,11,24,143
1516,2,7,48
1517,16,32,193
1518,4,17,111
1519,11,24,144
1520,15,30,182
1521,5,10,60
1522,13,19,90
1523,12,23,126
1524,9,20,123
1525,7,15,112
1526,13,23,135
1527,6,16,142
1528,9,19,112
1529,15,30,173
1530,10,20,120
1531,9,20,120
1532,9,21,123
1533,4,12,90
1534,12,23,115
1535,15,32,192
1536,7,14,114
1537,11,31,228
1538,7,15,94
1539,18,34,204
1540,3,10,57
1541,9,29,186
1542,10,17,88
1543,3,8,52
1544,13,34,178
1545,10,19,119
1546,3,8,44
1547,9,19,123
1548,0,2,13
1549,7,18,109
1550,20,42,238
1551,5,9,43
1552,8,19,123
1553,3,4,25
1554,8,21,181
1555,16,27,166
1556,10,20,123
1557,9,23,153
1558,0,2,15
1559,18,33,197
1560,4,11,75
1561,15,28,170
1562,9,23,152
1563,3,7,39
1564,8,20,118
1565,16,30,185
1566,9,22,113
1567,13,28,167
1568,5,12,70
1569,5,10,53
1570,17,38,264
1571,1,3,14
1572,7,15,81
1573,7,21,130
1574,14,32,181
1575,11,28,193
1576,6,11,61
1577,4,10,72
1578,6,12,71
1579,9,18,131
1580,7,12,80
1581,2,5,34
1582,4,10,75
1583,2,5,35
1584,6,12,81
1585,12,27,178
1586,2,6,44
1587,5,11,62
1588,3,7,37
1589,2,4,19
1590,15,31,202
1591,12,26,163
1592,2,5,32
1593,7,17,112
1594,9,21,144
1595,7,16,103
1596,8,17,109
1597,0,0,12
1598,13,34,204
1599,4,11,58
1600,5,10,66
1601,10,22,133
1602,2,7,43
1603,4,10,65
1604,13,28,197
1605,3,3,14
1606,8,26,180
1607,6,18,116
1608,18,50,343
1609,11,25,168
1610,18,37,237
1611,5,13,96
1612,5,12,70
1613,26,50,300
1614,0,2,16
1615,2,6,45
1616,6,20,143
1617,3,6,54
1618,4,13,101
1619,5,12,74
1620,7,16,103
1621,13,28,176
1622,13,26,150
1623,5,14,76
1624,0,0,14
1625,16,37,227
1626,8,19,106
1627,7,13,79
1628,6,16,88
1629,7,15,94
1630,11,18,93
1631,2,7,41
1632,3,3,14
1633,10,27,206
1634,9,32,222
1635,10,24,121
1636,6,24,190
1637,3,9,64
1638,5,17,148
1639,2,3,14
1640,12,22,112
1641,9,17,97
1642,8,22,136
1643,7,11,54
1644,6,20,131
1645,4,15,93
1646,6,10,61
1647,3,6,37
1648,4,11,68
1649,4,14,107
1650,6,17,108
1651,5,15,92
1652,10,34,245
1653,6,12,76
1654,10,21,141
1655,3,11,72
1656,8,15,79
1657,7,18,102
1658,4,8,44
1659,5,17,111
1660,6,16,110
1661,7,18,115
1662,7,25,147
