rank,word,frequency,cumulative_coverage_percent
172,them,28,64.6731
173,pic,27,64.7515
174,look,27,64.8298
175,again,27,64.9082
176,please,26,64.9836
177,ca,26,65.0591
178,baby,26,65.1345
179,bad,26,65.2099
180,call,26,65.2854
181,down,26,65.3608
182,always,26,65.4363
183,cool,26,65.5117
184,sexy,25,65.5843
185,play,25,65.6568
186,around,25,65.7294
187,watches,25,65.8019
188,by,25,65.8745
189,thought,24,65.9441
190,guy,24,66.0138
191,better,24,66.0834
192,first,23,66.1501
193,many,23,66.2169
194,hate,23,66.2836
195,said,23,66.3504
196,same,23,66.4171
197,live,23,66.4839
198,music,23,66.5506
199,stop,23,66.6173
200,doing,23,66.6841
201,listening,23,66.7508
202,yep,22,66.8147
203,guess,22,66.8785
204,maybe,22,66.9423
205,way,22,67.0062
206,ask,22,67.07
207,life,22,67.1339
208,ever,22,67.1977
209,us,22,67.2615
210,huh,21,67.3225
211,hear,21,67.3834
212,ppl,21,67.4444
213,ur,21,67.5053
214,wants,21,67.5662
215,could,21,67.6272
216,old,21,67.6881
217,new,21,67.749
218,great,21,67.81
219,looks,21,67.8709
220,very,20,67.929
221,later,20,67.987
222,hug,20,68.045
223,phone,20,68.1031
224,bored,20,68.1611
225,tonight,20,68.2191
226,howdy,20,68.2772
227,feel,19,68.3323
228,let,19,68.3875
229,female,19,68.4426
230,hugs,19,68.4977
231,mean,19,68.5529
232,nothing,19,68.608
233,give,19,68.6631
234,their,19,68.7183
235,must,19,68.7734
236,other,19,68.8285
237,la,19,68.8837
238,put,18,68.9359
239,find,18,68.9881
240,sucks,18,69.0404
241,own,18,69.0926
242,yea,18,69.1448
243,cant,18,69.1971
244,thing,18,69.2493
245,da,18,69.3015
246,minutes,18,69.3538
247,left,17,69.4031
248,single,17,69.4524
249,fine,17,69.5018
250,lets,17,69.5511
251,shit,17,69.6004
252,nite,17,69.6497
253,busy,17,69.6991
254,hair,17,69.7484
255,lost,17,69.7977
256,n,17,69.8471
257,leave,17,69.8964
258,player,17,69.9457
259,tryin,17,69.9951
260,virgin,17,70.0444
261,ass,16,70.0908
262,hahaha,16,70.1373
263,yw,16,70.1837
264,already,16,70.2301
265,fun,16,70.2765
266,eyes,16,70.323
267,red,16,70.3694
268,try,16,70.4158
269,thank,16,70.4623
270,real,16,70.5087
271,question,16,70.5551
272,heya,16,70.6015
273,tc,16,70.648
274,game,16,70.6944
275,fuck,15,70.7379
276,enough,15,70.7815
277,sits,15,70.825
278,eat,15,70.8685
279,ha,15,70.912
280,getting,15,70.9556
281,ago,15,70.9991
282,talking,15,71.0426
283,because,15,71.0862
284,yer,15,71.1297
285,kill,15,71.1732
286,boy,14,71.2138
287,read,14,71.2545
288,else,14,71.2951
289,shut,14,71.3357
290,hmm,14,71.3763
291,wait,14,71.417
292,though,14,71.4576
293,em,14,71.4982
294,hands,14,71.5388
295,goes,14,71.5795
296,may,14,71.6201
297,keep,14,71.6607
298,nope,14,71.7013
299,morning,14,71.742
300,these,14,71.7826
301,least,14,71.8232
302,true,14,71.8638
303,big,14,71.9045
304,anybody,14,71.9451
305,male,13,71.9828
306,place,13,72.0205
307,wrong,13,72.0583
308,white,13,72.096
309,sleep,13,72.1337
310,seriously,13,72.1714
311,pick,13,72.2092
312,free,13,72.2469
313,cause,13,72.2846
314,near,13,72.3223
315,makes,13,72.3601
316,evening,13,72.3978
317,before,13,72.4355
318,times,13,72.4732
319,awww,13,72.511
320,games,13,72.5487
321,elbows,13,72.5864
322,hope,12,72.6212
323,head,12,72.656
324,yet,12,72.6909
325,being,12,72.7257
326,yo,12,72.7605
327,outta,12,72.7953
328,females,12,72.8302
329,k,12,72.865
330,aww,12,72.8998
331,than,12,72.9346
332,kids,12,72.9694
333,corner,12,73.0043
334,kidding,12,73.0391
335,face,12,73.0739
336,gets,12,73.1087
337,bit,12,73.1436
338,cold,12,73.1784
339,watch,12,73.2132
340,hehe,12,73.248
341,bout,12,73.2828
342,home,12,73.3177
343,party,12,73.3525
344,naked,12,73.3873
345,gotta,12,73.4221
346,stay,12,73.457
347,used,12,73.4918
348,actually,12,73.5266
349,those,12,73.5614
350,family,12,73.5962
351,cat,12,73.6311
352,told,12,73.6659
353,wz,12,73.7007
354,few,12,73.7355
355,sweet,12,73.7703
356,yall,12,73.8052
357,played,12,73.84
358,seconds,12,73.8748
359,days,11,73.9067
360,hard,11,73.9387
361,show,11,73.9706
362,uh,11,74.0025
363,doin,11,74.0344
364,honey,11,74.0663
365,having,11,74.0983
366,wtf,11,74.1302
367,perv,11,74.1621
368,wont,11,74.194
369,fingers,11,74.2259
370,dang,11,74.2579
371,two,11,74.2898
372,missed,11,74.3217
373,whisper,11,74.3536
374,stuff,11,74.3855
375,year,11,74.4175
376,c,11,74.4494
377,point,11,74.4813
378,pa,11,74.5132
379,babe,11,74.5451
380,help,11,74.5771
381,um,11,74.609
382,into,11,74.6409
383,talkin,11,74.6728
384,cream,11,74.7047
385,watching,11,74.7367
386,md,11,74.7686
387,things,10,74.7976
388,little,10,74.8266
389,jesus,10,74.8556
390,myself,10,74.8847
391,type,10,74.9137
392,heyy,10,74.9427
393,hahah,10,74.9717
394,saw,10,75.0007
395,rock,10,75.0297
396,looking,10,75.0588
397,others,10,75.0878
398,sup,10,75.1168
399,mine,10,75.1458
400,sex,10,75.1748
401,once,10,75.2039
402,care,10,75.2329
403,mind,10,75.2619
404,names,10,75.2909
405,change,10,75.3199
406,kiss,10,75.3489
407,awesome,10,75.378
408,week,10,75.407
409,bot,10,75.436
410,bi,10,75.465
411,liam,10,75.494
412,making,10,75.5231
413,ah,9,75.5492
414,sounds,9,75.5753
415,pics,9,75.6014
416,ny,9,75.6275
417,buy,9,75.6536
418,such,9,75.6798
419,wanted,9,75.7059
420,happy,9,75.732
421,best,9,75.7581
422,profile,9,75.7842
423,course,9,75.8103
424,asl,9,75.8365
425,funny,9,75.8626
426,stick,9,75.8887
427,neck,9,75.9148
428,remember,9,75.9409
429,innocent,9,75.967
430,dead,9,75.9932
431,either,9,76.0193
432,okay,9,76.0454
433,kisses,9,76.0715
434,runs,9,76.0976
435,aint,9,76.1237
436,men,9,76.1499
437,hb,9,76.176
438,nic,9,76.2021
439,meant,9,76.2282
440,thinks,9,76.2543
441,book,9,76.2804
442,world,9,76.3065
443,crap,9,76.3327
444,soon,9,76.3588
445,ill,9,76.3849
446,computer,9,76.411
447,called,9,76.4371
448,full,9,76.4632
449,coffee,9,76.4894
450,asking,9,76.5155
451,while,9,76.5416
452,hour,9,76.5677
453,our,9,76.5938
454,hiyas,9,76.6199
455,ahhh,9,76.6461
456,myspace,9,76.6722
457,yup,9,76.6983
458,alone,9,76.7244
459,waves,9,76.7505
460,sick,9,76.7766
461,lil,9,76.8028
462,lasts,9,76.8289
463,anything,9,76.855
464,hmmm,9,76.8811
465,paxil,9,76.9072
466,beach,9,76.9333
467,aloha,9,76.9595
468,tomorrow,8,76.9827
469,b,8,77.0059
470,fiance,8,77.0291
471,together,8,77.0523
472,hand,8,77.0755
473,yay,8,77.0987
474,word,8,77.122
475,ima,8,77.1452
476,nobody,8,77.1684
477,kinda,8,77.1916
478,loves,8,77.2148
479,rule,8,77.238
480,il,8,77.2613
481,kicked,8,77.2845
482,poor,8,77.3077
483,friend,8,77.3309
484,dude,8,77.3541
485,check,8,77.3773
486,cyber,8,77.4005
487,death,8,77.4238
488,case,8,77.447
489,bed,8,77.4702
490,video,8,77.4934
491,wana,8,77.5166
492,hows,8,77.5398
493,tv,8,77.563
494,went,8,77.5863
495,after,8,77.6095
496,years,8,77.6327
497,bet,8,77.6559
498,lived,8,77.6791
499,without,8,77.7023
500,black,8,77.7255
501,use,8,77.7488
502,another,8,77.772
503,lady,8,77.7952
504,folks,8,77.8184
505,sit,8,77.8416
506,oops,8,77.8648
507,blue,8,77.888
508,prolly,8,77.9113
509,kick,8,77.9345
510,tried,8,77.9577
511,hit,8,77.9809
512,tx,8,78.0041
513,says,8,78.0273
514,sighs,8,78.0505
515,suck,8,78.0738
516,afk,8,78.097
517,person,8,78.1202
518,cookies,8,78.1434
519,made,8,78.1666
520,heard,8,78.1898
521,football,8,78.2131
522,gurls,8,78.2363
523,cry,8,78.2595
524,trout,8,78.2827
525,round,8,78.3059
526,wife,8,78.3291
527,sang,8,78.3523
528,die,8,78.3756
529,women,7,78.3959
530,fast,7,78.4162
531,summer,7,78.4365
532,lot,7,78.4568
533,jk,7,78.4771
534,ooo,7,78.4974
535,hehehe,7,78.5177
536,walks,7,78.5381
537,cuz,7,78.5584
538,knows,7,78.5787
539,drink,7,78.599
540,answer,7,78.6193
541,alot,7,78.6396
542,thinking,7,78.6599
543,seems,7,78.6802
544,anymore,7,78.7006
545,crazy,7,78.7209
546,none,7,78.7412
547,matter,7,78.7615
548,short,7,78.7818
549,took,7,78.8021
550,couch,7,78.8224
551,taking,7,78.8427
552,teacher,7,78.8631
553,agree,7,78.8834
554,wear,7,78.9037
555,kicks,7,78.924
556,kool,7,78.9443
557,chance,7,78.9646
558,god,7,78.9849
559,florida,7,79.0053
560,weather,7,79.0256
561,since,7,79.0459
562,everything,7,79.0662
563,far,7,79.0865
564,dear,7,79.1068
565,moped,7,79.1271
566,ohh,7,79.1474
567,ugh,7,79.1678
568,dunno,7,79.1881
569,hungry,7,79.2084
570,everybody,7,79.2287
571,kid,7,79.249
572,green,7,79.2693
573,redneck,7,79.2896
574,canada,7,79.3099
575,boring,7,79.3303
576,happen,7,79.3506
577,chicken,7,79.3709
578,religion,7,79.3912
579,car,7,79.4115
580,food,7,79.4318
581,pumpkin,7,79.4521
582,fl,7,79.4724
583,gives,6,79.4899
584,killing,6,79.5073
585,missing,6,79.5247
586,mom,6,79.5421
587,late,6,79.5595
588,most,6,79.5769
589,minute,6,79.5943
590,aw,6,79.6117
591,id,6,79.6291
592,uk,6,79.6466
593,words,6,79.664
594,bbl,6,79.6814
595,texas,6,79.6988
596,shower,6,79.7162
597,number,6,79.7336
598,ummm,6,79.751
599,thru,6,79.7684
600,closes,6,79.7858
601,compliments,6,79.8033
602,caps,6,79.8207
603,color,6,79.8381
604,list,6,79.8555
605,ahh,6,79.8729
606,came,6,79.8903
607,liked,6,79.9077
608,seem,6,79.9251
609,ice,6,79.9425
610,cali,6,79.96
611,sing,6,79.9774
612,hun,6,79.9948
613,ready,6,80.0122
614,figured,6,80.0296
615,problem,6,80.047
616,next,6,80.0644
617,leaving,6,80.0818
618,fly,6,80.0992
619,horny,6,80.1167
620,somebody,6,80.1341
621,ex,6,80.1515
622,done,6,80.1689
623,hon,6,80.1863
624,ride,6,80.2037
625,sometimes,6,80.2211
626,worth,6,80.2385
627,likes,6,80.2559
628,comp,6,80.2734
629,high,6,80.2908
630,chatting,6,80.3082
631,main,6,80.3256
632,believe,6,80.343
633,singing,6,80.3604
634,coming,6,80.3778
635,drive,6,80.3952
636,takes,6,80.4126
637,cut,6,80.4301
638,almost,6,80.4475
639,goin,6,80.4649
640,run,6,80.4823
641,rules,6,80.4997
642,dum,6,80.5171
643,winks,6,80.5345
644,which,6,80.5519
645,pussy,6,80.5693
646,pink,6,80.5868
647,broke,6,80.6042
648,nm,6,80.6216
649,might,6,80.639
650,gone,6,80.6564
651,msn,6,80.6738
652,anyway,6,80.6912
653,w,6,80.7086
654,set,6,80.726
655,end,6,80.7434
656,ohhh,6,80.7609
657,south,6,80.7783
658,smiles,6,80.7957
659,sings,6,80.8131
660,woman,6,80.8305
661,movie,6,80.8479
662,romantic,6,80.8653
663,bar,6,80.8827
664,heyyy,6,80.9001
665,knew,6,80.9176
666,ball,6,80.935
667,comes,6,80.9524
668,close,6,80.9698
669,send,6,80.9872
670,saying,6,81.0046
671,woot,6,81.022
672,blah,6,81.0394
673,sad,6,81.0568
674,slaps,6,81.0743
675,whole,6,81.0917
676,nah,6,81.1091
677,cam,6,81.1265
678,maryland,6,81.1439
679,mother,6,81.1613
680,whispers,6,81.1787
681,whos,6,81.1961
682,pms,6,81.2135
683,pie,6,81.231
684,h,6,81.2484
685,yoko,6,81.2658
686,wellbutrin,6,81.2832
687,sports,6,81.3006
688,sock,6,81.318
689,ct,6,81.3354
690,means,5,81.3499
691,boo,5,81.3644
692,legs,5,81.379
693,serious,5,81.3935
694,fire,5,81.408
695,warm,5,81.4225
696,nc,5,81.437
697,dad,5,81.4515
698,cya,5,81.466
699,freaking,5,81.4805
700,box,5,81.495
701,turn,5,81.5095
702,hang,5,81.524
703,dirty,5,81.5386
704,pervs,5,81.5531
705,depends,5,81.5676
706,handle,5,81.5821
707,yah,5,81.5966
708,annoying,5,81.6111
709,roses,5,81.6256
710,miss,5,81.6401
711,boys,5,81.6546
712,inside,5,81.6691
713,wouldnt,5,81.6836
714,pokes,5,81.6982
715,land,5,81.7127
716,huge,5,81.7272
717,friends,5,81.7417
718,nose,5,81.7562
719,min,5,81.7707
720,mouth,5,81.7852
721,lick,5,81.7997
722,y,5,81.8142
723,profiles,5,81.8287
724,three,5,81.8432
725,sowwy,5,81.8578
726,mmm,5,81.8723
727,against,5,81.8868
728,smooch,5,81.9013
729,gently,5,81.9158
730,supposed,5,81.9303
731,pay,5,81.9448
732,dat,5,81.9593
733,wish,5,81.9738
734,job,5,81.9883
735,dinner,5,82.0028
736,quit,5,82.0174
737,house,5,82.0319
738,married,5,82.0464
739,drugs,5,82.0609
740,roll,5,82.0754
741,plays,5,82.0899
742,easy,5,82.1044
743,lose,5,82.1189
744,wo,5,82.1334
745,happened,5,82.1479
746,under,5,82.1624
747,bus,5,82.177
748,conversation,5,82.1915
749,cute,5,82.206
750,holy,5,82.2205
751,com,5,82.235
752,scared,5,82.2495
753,heart,5,82.264
754,soul,5,82.2785
755,luck,5,82.293
756,purple,5,82.3075
757,fired,5,82.322
758,also,5,82.3366
759,rather,5,82.3511
760,start,5,82.3656
761,son,5,82.3801
762,tired,5,82.3946
763,evil,5,82.4091
764,pants,5,82.4236
765,forgot,5,82.4381
766,history,5,82.4526
767,interesting,5,82.4671
768,story,5,82.4816
769,fall,5,82.4962
770,miles,5,82.5107
771,shoot,5,82.5252
772,smart,5,82.5397
773,current,5,82.5542
774,blood,5,82.5687
775,typing,5,82.5832
776,started,5,82.5977
777,l,5,82.6122
778,quite,5,82.6267
779,lord,5,82.6412
780,boss,5,82.6558
781,private,5,82.6703
782,control,5,82.6848
783,pop,5,82.6993
784,beer,5,82.7138
785,quiet,5,82.7283
786,worry,5,82.7428
787,doesnt,5,82.7573
788,ft,5,82.7718
789,horrible,5,82.7863
790,until,5,82.8008
791,weird,5,82.8154
792,top,5,82.8299
793,sammich,5,82.8444
794,every,5,82.8589
795,wall,5,82.8734
796,uniform,5,82.8879
797,hiiii,5,82.9024
798,fir,5,82.9169
799,shore,5,82.9314
800,hii,5,82.9459
801,hahahaha,5,82.9604
802,everyday,5,82.975
803,meet,5,82.9895
804,till,5,83.004
805,git,5,83.0185
806,cheer,5,83.033
807,bottle,5,83.0475
808,confused,5,83.062
809,ta,5,83.0765
810,pervin,5,83.091
811,reading,5,83.1055
812,dance,5,83.12
813,feet,5,83.1346
814,listen,5,83.1491
815,xbox,5,83.1636
816,idea,5,83.1781
817,large,5,83.1926
818,heck,5,83.2071
819,lives,5,83.2216
820,lez,5,83.2361
821,ate,5,83.2506
822,joke,5,83.2651
823,unless,5,83.2796
824,fool,5,83.2942
825,felt,5,83.3087
826,nakey,5,83.3232
827,kent,5,83.3377
828,oi,5,83.3522
829,eh,5,83.3667
830,hours,5,83.3812
831,fluids,5,83.3957
832,comfy,5,83.4102
833,meds,5,83.4247
834,fat,5,83.4393
835,both,5,83.4538
836,kennedy,5,83.4683
837,hawaii,5,83.4828
838,laffs,5,83.4973
839,crusty,5,83.5118
840,lime,5,83.5263
841,drew,4,83.5379
842,between,4,83.5495
843,glad,4,83.5611
844,worked,4,83.5727
845,alright,4,83.5843
846,lmaoo,4,83.5959
847,dr,4,83.6076
848,hes,4,83.6192
849,theres,4,83.6308
850,lookin,4,83.6424
851,jerk,4,83.654
852,ugly,4,83.6656
853,daughter,4,83.6772
854,lmfao,4,83.6888
855,date,4,83.7004
856,woohoo,4,83.712
857,cheap,4,83.7236
858,lmaooo,4,83.7352
859,charge,4,83.7468
860,lies,4,83.7585
861,lie,4,83.7701
862,darlin,4,83.7817
863,dreams,4,83.7933
864,idiots,4,83.8049
865,fighting,4,83.8165
866,probably,4,83.8281
867,umm,4,83.8397
868,special,4,83.8513
869,noise,4,83.8629
870,yours,4,83.8745
871,through,4,83.8861
872,trying,4,83.8977
873,mad,4,83.9093
874,finally,4,83.921
875,choice,4,83.9326
876,rest,4,83.9442
877,yeppers,4,83.9558
878,pretty,4,83.9674
879,asses,4,83.979
880,figure,4,83.9906
881,pissed,4,84.0022
882,door,4,84.0138
883,self,4,84.0254
884,needed,4,84.037
885,pass,4,84.0486
886,line,4,84.0602
887,interested,4,84.0718
888,prison,4,84.0835
889,waiting,4,84.0951
890,promise,4,84.1067
891,amy,4,84.1183
892,realize,4,84.1299
893,hook,4,84.1415
894,ohio,4,84.1531
895,each,4,84.1647
896,blank,4,84.1763
897,swim,4,84.1879
898,open,4,84.1995
899,calling,4,84.2111
900,window,4,84.2227
901,yawns,4,84.2344
902,screen,4,84.246
903,ouch,4,84.2576
904,fart,4,84.2692
905,cup,4,84.2808
906,afternoon,4,84.2924
907,ahhhh,4,84.304
908,yourself,4,84.3156
909,american,4,84.3272
910,worse,4,84.3388
911,yesterday,4,84.3504
912,country,4,84.362
913,behind,4,84.3736
914,lunch,4,84.3852
915,x,4,84.3969
916,mercy,4,84.4085
917,grrr,4,84.4201
918,tho,4,84.4317
919,talked,4,84.4433
920,pain,4,84.4549
921,messaging,4,84.4665
922,joining,4,84.4781
923,dawnstar,4,84.4897
924,visit,4,84.5013
925,reminder,4,84.5129
926,jus,4,84.5245
927,hawt,4,84.5361
928,dating,4,84.5477
929,wind,4,84.5594
930,pfft,4,84.571
931,sigh,4,84.5826
932,aberdeen,4,84.5942
933,bible,4,84.6058
934,rofl,4,84.6174
935,sea,4,84.629
936,wisconsin,4,84.6406
937,shes,4,84.6522
938,dam,4,84.6638
939,tongue,4,84.6754
940,hehehehe,4,84.687
941,mary,4,84.6986
942,favorite,4,84.7103
943,st,4,84.7219
944,himself,4,84.7335
945,mmmm,4,84.7451
946,ones,4,84.7567
947,perving,4,84.7683
948,shot,4,84.7799
949,questions,4,84.7915
950,caught,4,84.8031
951,wut,4,84.8147
952,team,4,84.8263
953,happens,4,84.8379
954,hott,4,84.8495
955,wanting,4,84.8611
956,mmmmm,4,84.8728
957,ive,4,84.8844
958,imagine,4,84.896
959,bitch,4,84.9076
960,swear,4,84.9192
961,ways,4,84.9308
962,road,4,84.9424
963,found,4,84.954
964,beat,4,84.9656
965,ai,4,84.9772
966,laugh,4,84.9888
967,hail,4,85.0004
968,parent,4,85.012
969,san,4,85.0236
970,diego,4,85.0353
971,proud,4,85.0469
972,falls,4,85.0585
973,spins,4,85.0701
974,silver,4,85.0817
975,invite,4,85.0933
976,stuck,4,85.1049
977,barbie,4,85.1165
978,lovely,4,85.1281
979,elle,4,85.1397
980,lame,4,85.1513
981,knees,4,85.1629
982,dis,4,85.1745
983,dances,4,85.1862
984,different,4,85.1978
985,john,4,85.2094
986,bring,4,85.221
987,smoking,4,85.2326
988,shane,4,85.2442
989,trials,4,85.2558
990,throught,4,85.2674
991,desert,4,85.279
992,temptations,4,85.2906
993,pursued,4,85.3022
994,ga,4,85.3138
995,est,4,85.3254
996,poooland,4,85.337
997,puff,4,85.3487
998,maidstone,4,85.3603
999,rum,4,85.3719
1000,guitar,4,85.3835
1001,claws,4,85.3951
1002,giggles,4,85.4067
1003,rolling,4,85.4183
1004,socks,4,85.4299
1005,fabric,4,85.4415
1006,laundry,4,85.4531
1007,booty,4,85.4647
1008,kittie,4,85.4763
1009,rocker,4,85.4879
1010,tisk,4,85.4996
1011,clap,3,85.5083
1012,spread,3,85.517
1013,changing,3,85.5257
1014,tennessee,3,85.5344
1015,itch,3,85.5431
1016,sho,3,85.5518
1017,keeps,3,85.5605
1018,guyz,3,85.5692
1019,gold,3,85.5779
1020,ring,3,85.5866
1021,isnt,3,85.5953
1022,twice,3,85.604
1023,impressed,3,85.6127
1024,deep,3,85.6214
1025,relax,3,85.6301
1026,wrote,3,85.6388
1027,wa,3,85.6475
1028,co,3,85.6562
1029,massage,3,85.665
1030,playing,3,85.6737
1031,devil,3,85.6824
1032,whore,3,85.6911
1033,phil,3,85.6998
1034,sheesh,3,85.7085
1035,deal,3,85.7172
1036,class,3,85.7259
1037,money,3,85.7346
1038,licks,3,85.7433
1039,ear,3,85.752
1040,wash,3,85.7607
1041,record,3,85.7694
1042,lix,3,85.7781
1043,youre,3,85.7868
1044,darling,3,85.7955
1045,wishes,3,85.8042
1046,piff,3,85.8129
1047,construction,3,85.8217
1048,dream,3,85.8304
1049,yum,3,85.8391
1050,taken,3,85.8478
1051,choco,3,85.8565
1052,winter,3,85.8652
1053,jump,3,85.8739
1054,eye,3,85.8826
1055,blind,3,85.8913
1056,lists,3,85.9
1057,stupid,3,85.9087
1058,finish,3,85.9174
1059,strong,3,85.9261
1060,whoa,3,85.9348
1061,gosh,3,85.9435
1062,teens,3,85.9522
1063,recently,3,85.9609
1064,band,3,85.9696
1065,orgy,3,85.9784
1066,cheating,3,85.9871
1067,psh,3,85.9958
1068,straight,3,86.0045
1069,writing,3,86.0132
1070,front,3,86.0219
1071,boots,3,86.0306
1072,slap,3,86.0393
1073,pathetic,3,86.048
1074,added,3,86.0567
1075,field,3,86.0654
1076,terrible,3,86.0741
1077,soccer,3,86.0828
1078,hr,3,86.0915
1079,hold,3,86.1002
1080,street,3,86.1089
1081,soft,3,86.1176
1082,rough,3,86.1263
1083,sugar,3,86.1351
1084,bend,3,86.1438
1085,files,3,86.1525
1086,doubt,3,86.1612
1087,toss,3,86.1699
1088,d,3,86.1786
1089,sun,3,86.1873
1090,ceiling,3,86.196
1091,light,3,86.2047
1092,amen,3,86.2134
1093,older,3,86.2221
1094,fight,3,86.2308
1095,goofy,3,86.2395
1096,pillow,3,86.2482
1097,lucky,3,86.2569
1098,headed,3,86.2656
1099,gal,3,86.2743
1100,booted,3,86.283
1101,huskers,3,86.2918
1102,rain,3,86.3005
1103,friendly,3,86.3092
1104,op,3,86.3179
1105,snort,3,86.3266
1106,deop,3,86.3353
1107,finished,3,86.344
1108,roof,3,86.3527
1109,wondering,3,86.3614
1110,animal,3,86.3701
1111,yikes,3,86.3788
1112,ooh,3,86.3875
1113,babes,3,86.3962
1114,gf,3,86.4049
1115,break,3,86.4136
1116,shoes,3,86.4223
1117,ahem,3,86.431
1118,hola,3,86.4397
1119,drop,3,86.4484
1120,candy,3,86.4572
1121,moving,3,86.4659
1122,butt,3,86.4746
1123,imma,3,86.4833
1124,town,3,86.492
1125,sis,3,86.5007
1126,stretches,3,86.5094
1127,queen,3,86.5181
1128,california,3,86.5268
1129,observed,3,86.5355
1130,pdt,3,86.5442
1131,october,3,86.5529
1132,elev,3,86.5616
1133,dew,3,86.5703
1134,sunrise,3,86.579
1135,length,3,86.5877
1136,shorter,3,86.5964
1137,alaska,3,86.6051
1138,akdt,3,86.6139
1139,t,3,86.6226
1140,comment,3,86.6313
1141,cdt,3,86.64
1142,talks,3,86.6487
1143,lead,3,86.6574
1144,superior,3,86.6661
1145,hah,3,86.6748
1146,ding,3,86.6835
1147,age,3,86.6922
1148,muh,3,86.7009
1149,trust,3,86.7096
1150,kiddin,3,86.7183
1151,attracted,3,86.727
1152,note,3,86.7357
1153,dog,3,86.7444
1154,school,3,86.7531
1155,joined,3,86.7618
1156,ben,3,86.7706
1157,gawd,3,86.7793
1158,shakes,3,86.788
1159,along,3,86.7967
1160,stand,3,86.8054
1161,piece,3,86.8141
1162,havent,3,86.8228
1163,fillin,3,86.8315
1164,half,3,86.8402
